day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Actual,Predicted
10.0,7.0,2012.0,33.0,69.0,13.0,0.7,66.6,6.0,9.3,1.1,5.8,0.5,0,0
4.0,7.0,2012.0,33.0,78.0,17.0,0.0,80.1,4.6,18.5,2.7,5.7,1.7,0,0
6.0,9.0,2012.0,34.0,71.0,14.0,6.5,64.5,3.3,9.1,1.0,3.5,0.4,0,0
20.0,6.0,2012.0,30.0,80.0,16.0,0.4,59.8,3.4,27.1,0.9,5.1,0.4,0,0
14.0,9.0,2012.0,22.0,76.0,26.0,8.3,47.4,1.1,7.0,0.4,1.6,0.1,0,0
21.0,8.0,2012.0,36.0,58.0,19.0,0.0,88.6,29.6,141.1,9.2,38.8,18.4,1,1
18.0,8.0,2012.0,36.0,54.0,18.0,0.0,89.4,20.0,110.9,9.7,27.5,16.1,1,1
26.0,7.0,2012.0,36.0,53.0,19.0,0.0,89.2,17.1,98.6,10.0,23.9,15.3,1,1
14.0,6.0,2012.0,27.0,79.0,16.0,0.7,53.4,6.4,7.3,0.5,6.1,0.3,0,0
1.0,9.0,2012.0,29.0,86.0,16.0,0.0,37.9,0.9,8.2,0.1,1.4,0.0,0,0
10.0,6.0,2012.0,30.0,41.0,15.0,0.0,89.4,13.3,22.5,8.4,13.1,10.0,1,1
14.0,8.0,2012.0,33.0,66.0,14.0,0.0,87.0,21.7,94.7,5.7,27.2,10.6,1,1
13.0,9.0,2012.0,25.0,86.0,21.0,4.6,40.9,1.3,7.5,0.1,1.8,0.0,0,0
26.0,7.0,2012.0,35.0,58.0,10.0,0.2,78.3,10.8,19.7,1.6,10.7,1.0,0,0
29.0,8.0,2012.0,35.0,53.0,17.0,0.5,80.2,20.7,149.2,2.7,30.6,5.9,1,1
3.0,6.0,2012.0,26.0,82.0,22.0,13.1,47.1,2.5,7.1,0.3,2.7,0.1,0,0
28.0,7.0,2012.0,33.0,57.0,16.0,0.0,87.5,15.7,37.6,6.7,15.7,9.0,1,1
8.0,6.0,2012.0,30.0,73.0,15.0,0.0,86.6,12.1,38.3,5.6,13.5,7.1,1,1
12.0,8.0,2012.0,35.0,51.0,13.0,0.3,81.3,15.6,75.1,2.5,20.7,4.2,0,0
10.0,8.0,2012.0,39.0,39.0,15.0,0.2,89.3,15.8,35.4,8.2,15.8,10.7,1,1
8.0,7.0,2012.0,35.0,47.0,18.0,6.0,80.8,9.8,9.7,3.1,9.4,3.0,1,1
25.0,8.0,2012.0,35.0,60.0,15.0,0.0,88.9,43.9,181.3,8.2,54.7,20.3,1,1
27.0,7.0,2012.0,29.0,87.0,18.0,0.0,80.0,11.8,28.3,2.8,11.8,3.2,0,0
6.0,6.0,2012.0,31.0,67.0,14.0,0.0,82.6,5.8,22.2,3.1,7.0,2.5,1,1
8.0,8.0,2012.0,37.0,56.0,11.0,0.0,87.4,11.2,20.2,5.2,11.0,5.9,1,1
6.0,8.0,2012.0,30.0,54.0,14.0,3.1,70.5,11.0,9.1,1.3,10.5,0.8,0,0
4.0,9.0,2012.0,30.0,66.0,15.0,0.2,73.5,4.1,26.6,1.5,6.0,0.7,0,0
7.0,7.0,2012.0,35.0,64.0,18.0,0.2,80.0,9.7,40.4,2.8,12.1,3.2,0,0
27.0,9.0,2012.0,28.0,87.0,15.0,4.4,41.1,6.5,8.0,0.1,6.2,0.0,0,0
13.0,8.0,2012.0,35.0,34.0,16.0,0.2,88.3,16.9,45.1,7.5,17.5,10.5,1,1
19.0,7.0,2012.0,34.0,58.0,16.0,0.0,88.1,27.8,61.1,7.3,27.7,13.0,1,1
2.0,7.0,2012.0,33.0,48.0,16.0,0.0,87.6,7.9,17.8,6.8,7.8,6.4,1,1
28.0,6.0,2012.0,32.0,55.0,14.0,0.0,89.1,25.5,88.5,7.6,29.7,13.9,1,1
31.0,7.0,2012.0,35.0,64.0,17.0,0.0,87.2,31.9,145.7,6.8,41.2,15.7,1,1
26.0,9.0,2012.0,30.0,65.0,14.0,0.0,85.4,16.0,44.5,4.5,16.9,6.5,1,1
11.0,8.0,2012.0,35.0,63.0,13.0,0.0,88.9,21.7,77.0,7.1,25.5,12.1,1,1
9.0,8.0,2012.0,35.0,59.0,17.0,0.0,87.4,14.8,57.0,6.9,17.9,9.9,1,1
23.0,9.0,2012.0,35.0,56.0,14.0,0.0,89.0,29.4,115.6,7.5,36.0,15.2,1,1
10.0,7.0,2012.0,34.0,51.0,16.0,3.8,77.5,8.0,9.5,2.0,7.7,1.3,0,0
12.0,6.0,2012.0,26.0,81.0,19.0,0.0,84.0,13.8,61.4,4.8,17.7,7.1,1,1
7.0,9.0,2012.0,31.0,62.0,15.0,0.0,83.3,5.8,17.7,3.8,6.4,3.2,1,1
21.0,7.0,2012.0,36.0,29.0,18.0,0.0,93.9,39.6,80.6,18.5,39.5,30.0,1,1
28.0,9.0,2012.0,32.0,47.0,14.0,0.7,77.5,7.1,8.8,1.8,6.8,0.9,0,0
24.0,8.0,2012.0,34.0,64.0,14.0,0.0,88.9,40.5,171.3,9.0,50.9,20.9,1,1
17.0,6.0,2012.0,31.0,69.0,17.0,4.7,62.2,3.9,8.0,1.1,3.8,0.4,0,0
16.0,7.0,2012.0,28.0,76.0,21.0,0.0,72.6,7.0,25.5,0.7,8.3,0.4,0,0
21.0,6.0,2012.0,32.0,55.0,14.0,0.0,86.2,8.3,18.4,5.0,8.2,4.9,1,1
22.0,9.0,2012.0,33.0,64.0,13.0,0.0,88.9,26.1,106.3,7.1,32.4,13.7,1,1
2.0,6.0,2012.0,29.0,61.0,13.0,1.3,64.4,4.1,7.6,1.0,3.9,0.4,0,0
